User_ID,Country,Subscription_Plan,Monthly_Fee_USD,Join_Date,Last_Active,Movie_Title,Genre,Watch_Time_Minutes,Average_Rating,Device_Type,Customer_Support_Tickets,Review_Text,Payment_Method
U0116,Brazil,Basic,,08-20-2022,02-06-2022,dangal,Action,5061,,iOS,6.0,Loved it! ❤️ Best movie ever!,Debit Card
U0117,canada,Standard,8.99,04-13-2021,11-18-2022,Avengers: Endgame,Drama,-50,1.2288382614091313,iOS,,Loved it! ❤️ Best movie ever!,card
U0118,india,Premium,8.99,"Apr 05, 2022","Feb 14, 2023",the dark knight,Drama,-50,3.055353735682905,ANDRD,208.0,Slow pacing but great acting,CC
U0119,india,Basic,12.99,03-04-2021,,parasite,Thriller,-50,,Smart TV,736.0,Boring 😴,
U0120,Japan,prem,12.99,31/08/2023,,spider-man: no way home,Drama,7890,,IOS,,Boring 😴,PayPal
U0121,United Stattes,prem,15.99,10-26-2020,"Jan 15, 2019",inception,Thriller,418,,Web,,Loved it! ❤️ Best movie ever!,Debit Card
U0122,india,P,-12.0,11/12/2018,2023-06-14,coco,Action,-50,3.4,IOS,2.0,Amazing cinematography!,CC
U0123,United Kingdom,Basic,-12.0,2020-01-29,03-20-2021,parasite,Comedy,-50,,IOS,1.0,spam spam spam spam spam,card
U0124,Australia,Premium,,27/12/2018,"Feb 10, 2020",Coco,"Action, Thriller",-50,2.9955849998725324,android,196.0,Slow pacing but great acting,PayPal
,United Stattes,standard,15.99,24/12/2022,12-13-2019,spider-man: no way home,"Action, Thriller",70,0.1,Android,,Slow pacing but great acting,Credit Card
U0126,Japan,Standard,15.99,01-18-2021,02-15-2018,Frozen II,Comedy,3742,-1.061801304733497,iOS,9.0,Slow pacing but great acting,card
,Australia,B,25.0,13/07/2023,03-02-2022,Avengers: Endgame,Comedy,6281,4.0,Android,,¡Excelente película!,PayPal
U0128,Canada,Basic,8.99,02-18-2023,"Jan 15, 2021",inception,Thriller,265,,Web,5.0,,card
U0129,frnace,Standard,12.99,01-14-2019,2019-11-08,spider-man: no way home,Thriller,-50,0.7,iOS,,Slow pacing but great acting,card
U0130,germny,P,12.99,05-11-2021,,inception,Drama,495,0.5102806535978672,Android,,spam spam spam spam spam,PayPal
U0131,United Stattes,standard,12.99,2018-03-23,"Dec 28, 2018",dangal,Thriller,-50,0.7031875667415126,Android,,Amazing cinematography!,card
U0132,Canada,standard,8.99,"Jun 21, 2021","Jun 29, 2018",the dark knight,Sci-Fi,-50,,Smart TV,465.0,Loved it! ❤️ Best movie ever!,PayPal
U0133,Japan,Premium,-12.0,10-23-2021,01-13-2020,parasite,"Action, Thriller",7275,,Smart TV,569.0,spam spam spam spam spam,CC
U0134,india,Basic,,18/07/2022,"Apr 26, 2023",interstellar,Thriller,-50,4.6,Smart TV,,Slow pacing but great acting,
U0135,Japan,P,12.99,09-26-2019,05-28-2023,coco,Comedy,3215,-0.05198625298830306,Smart TV,6.0,,
U0136,australia,standard,-12.0,"Aug 23, 2023",2020-06-28,dangal,Romance,223,,android,4.0,Amazing cinematography!,Credit Card
U0137,Brazil,Standard,,"Mar 16, 2018",2021-10-26,frozen ii,Dramma,-50,0.02110722693081213,iOS,10.0,Slow pacing but great acting,Credit Card
U0138,India,prem,-12.0,"Sep 26, 2020",12-09-2023,inception,Dramma,486,1.556378183857149,ANDRD,,Slow pacing but great acting,card
U0139,australia,Basic,,"Jun 16, 2022",23/06/2021,Spider-Man: No Way Home,Sci-Fi,-50,-0.1077579773669266,iOS,,,PayPal
U0140,australia,prem,15.99,09-09-2022,2021-04-25,Parasite,"Action, Thriller",380,0.2057036870031932,Web,3.0,spam spam spam spam spam,card
U0141,germny,Basic,15.99,10/04/2023,,Avengers: Endgame,Sci-Fi,109,,Smart TV,,Slow pacing but great acting,
U0142,canada,Basic,15.99,2023-01-29,17/01/2018,Frozen II,Thriller,-50,-0.1506459301415466,IOS,492.0,Amazing cinematography!,Credit Card
U0143,United Kingdom,P,15.99,10/08/2021,"Jul 02, 2022",Avengers: Endgame,Action,-50,,IOS,6.0,spam spam spam spam spam,Credit Card
U0144,Germany,Premium,25.0,28/01/2021,,Interstellar,Romance,262,0.7,Web,239.0,spam spam spam spam spam,Debit Card
U0145,United States,Standard,12.99,2021-12-07,,parasite,Action,-50,3.2,android,10.0,Amazing cinematography!,
U0146,australia,Premium,25.0,"Feb 13, 2019",27/09/2022,Frozen II,Action,-50,-1.5297806695787934,Smart TV,515.0,spam spam spam spam spam,
U0147,India,P,8.99,"May 18, 2019","Dec 22, 2020",Parasite,Romance,-50,-1.524042196431639,IOS,517.0,spam spam spam spam spam,PayPal
U0148,india,standard,12.99,"Jun 04, 2019",2018-10-26,avengers: endgame,Drama,-50,5.15029153542337,Smart TV,,spam spam spam spam spam,card
U0149,germny,Premium,8.99,"Jun 09, 2021",12/06/2022,the godfather,Romance,7658,0.05131605505263881,Smart TV,10.0,,
U0150,Australia,Premium,8.99,"Nov 18, 2022","Jan 19, 2018",Interstellar,Dramma,-50,3.2,Web,6.0,Amazing cinematography!,
U0151,United Kingdom,prem,-12.0,"Nov 07, 2022",2022-03-05,Dangal,"Action, Thriller",-50,2.4,ANDRD,,Loved it! ❤️ Best movie ever!,PayPal
U0152,india,P,-12.0,2022-06-28,"Jul 15, 2019",coco,Action,-50,5.083744654190126,Web,7.0,,card
U0153,United Kingdom,Basic,,2018-12-01,,interstellar,Drama,-50,5.321485131492681,Smart TV,,Loved it! ❤️ Best movie ever!,
U0154,Brazil,prem,8.99,02-17-2020,07-08-2018,Avengers: Endgame,Action,-50,1.6,iOS,905.0,Slow pacing but great acting,PayPal
U0155,Brazil,Basic,25.0,"Nov 02, 2019",03-16-2021,interstellar,Action,447,5.2907506195617255,Android,8.0,Loved it! ❤️ Best movie ever!,
U0156,United States,prem,25.0,02/11/2020,2018-03-25,the dark knight,Drama,53,0.4,Android,206.0,spam spam spam spam spam,PayPal
U0157,germny,Premium,-12.0,03/11/2021,11-30-2019,parasite,Dramma,-50,1.8,android,,Boring 😴,PayPal
U0158,canada,prem,25.0,"Apr 09, 2019",,Coco,Action,200,,Android,,,Credit Card
U0159,Australia,B,8.99,"Nov 18, 2022","Oct 23, 2018",The Dark Knight,Thriller,2576,1.7,iOS,9.0,Loved it! ❤️ Best movie ever!,Debit Card
U0160,U.K,B,-12.0,03-05-2018,04-11-2018,The Dark Knight,Sci-Fi,9783,4.556922123932538,iOS,,spam spam spam spam spam,card
U0161,France,prem,25.0,"Sep 19, 2022",09-02-2020,Spider-Man: No Way Home,Drama,4922,3.923916954076316,Smart TV,178.0,Amazing cinematography!,Credit Card
U0162,australia,P,,2021-07-28,04-17-2019,spider-man: no way home,Sci-Fi,465,0.563675971587593,Web,353.0,Loved it! ❤️ Best movie ever!,card
U0163,South Africa,Basic,25.0,04-18-2018,,coco,Comedy,-50,-0.729982201259302,Smart TV,,¡Excelente película!,PayPal
U0164,South Africa,Premium,15.99,22/11/2022,2023-06-12,Inception,"Action, Thriller",2057,2.3836088754406326,Android,1.0,Slow pacing but great acting,CC
U0165,United Stattes,Premium,25.0,"Aug 30, 2022",,frozen ii,"Action, Thriller",7481,6.550684489212319,Android,0.0,Boring 😴,Debit Card
U0166,Japan,P,-12.0,07-10-2018,17/01/2022,Parasite,Sci-Fi,3351,4.0,Smart TV,925.0,Slow pacing but great acting,CC
U0167,frnace,Premium,-12.0,"Feb 10, 2021","Nov 04, 2023",avengers: endgame,Action,20,2.5,Android,302.0,Boring 😴,Credit Card
U0168,canada,Standard,-12.0,"May 10, 2023",08/07/2019,inception,Romance,230,2.7,ANDRD,,,CC
U0169,Australia,prem,15.99,03-31-2019,2019-11-21,inception,Thriller,9683,,Smart TV,473.0,Amazing cinematography!,Credit Card
U0170,United Stattes,B,,05-20-2018,2020-09-13,interstellar,Drama,28,6.8223763205213075,Android,,Boring 😴,card
U0171,United States,standard,-12.0,"Jan 19, 2023","Nov 26, 2018",avengers: endgame,Romance,4,,iOS,8.0,spam spam spam spam spam,card
U0172,India,Premium,,15/08/2018,2018-07-05,avengers: endgame,Romance,272,,Smart TV,,Loved it! ❤️ Best movie ever!,card
U0173,india,prem,15.99,2022-02-04,29/10/2020,The Dark Knight,Dramma,-50,,iOS,244.0,Loved it! ❤️ Best movie ever!,Credit Card
U0174,Canada,P,25.0,12-17-2018,03/05/2022,avengers: endgame,"Action, Thriller",-50,,iOS,971.0,Amazing cinematography!,PayPal
U0175,United Kingdom,P,12.99,02-18-2022,31/10/2020,Spider-Man: No Way Home,Comedy,6416,5.129775601166468,ANDRD,657.0,Boring 😴,
U0176,United Kingdom,standard,15.99,11-14-2020,"Jul 05, 2020",Inception,"Action, Thriller",-50,4.3,ANDRD,10.0,Boring 😴,CC
U0177,frnace,P,8.99,05-27-2018,05-22-2020,dangal,Dramma,5962,3.0,ANDRD,2.0,Slow pacing but great acting,PayPal
U0178,canada,standard,-12.0,02-21-2023,07-22-2019,spider-man: no way home,Action,5407,0.3,android,1.0,¡Excelente película!,Credit Card
U0179,Germany,standard,-12.0,06-26-2019,08-20-2019,frozen ii,Action,249,,Web,437.0,¡Excelente película!,
U0180,France,Standard,12.99,15/05/2022,07/12/2019,coco,Comedy,1166,,android,0.0,Amazing cinematography!,
U0181,Japan,prem,,07-03-2023,10-02-2022,parasite,Comedy,425,0.7,ANDRD,,spam spam spam spam spam,card
U0182,Germany,standard,-12.0,12-30-2020,04/09/2019,Frozen II,Action,9134,,Android,,¡Excelente película!,CC
U0183,Germany,Premium,8.99,01-02-2022,06-17-2020,Avengers: Endgame,Dramma,9389,1.4698984482398396,android,,Slow pacing but great acting,PayPal
U0184,United States,prem,12.99,"Oct 11, 2021","Oct 12, 2019",Avengers: Endgame,Sci-Fi,-50,,iOS,,Boring 😴,
U0185,germny,Premium,,"May 18, 2022",,The Godfather,Thriller,252,-0.8225251872201793,ANDRD,,,CC
U0186,Canada,Premium,,12/05/2020,07/06/2020,Interstellar,Thriller,-50,3.4,android,645.0,Loved it! ❤️ Best movie ever!,card
U0187,United Stattes,Basic,12.99,10-17-2021,12-30-2022,Dangal,"Action, Thriller",-50,1.0,ANDRD,9.0,spam spam spam spam spam,CC
U0188,United Kingdom,P,-12.0,2020-01-23,08-06-2023,Frozen II,Comedy,-50,0.6,IOS,6.0,Boring 😴,Credit Card
U0189,Canada,prem,12.99,2021-09-29,06-04-2021,interstellar,Romance,356,,ANDRD,3.0,Boring 😴,
U0190,U.K,prem,,30/10/2021,"Oct 21, 2018",the godfather,Comedy,1380,,Web,,Slow pacing but great acting,Debit Card
U0191,U.K,B,8.99,"Feb 10, 2018",2023-09-09,interstellar,Sci-Fi,6164,3.1,Web,378.0,Boring 😴,Debit Card
U0192,canada,P,-12.0,"Oct 20, 2019",2023-10-13,Dangal,Dramma,290,3.2,IOS,,Amazing cinematography!,CC
U0193,U.K,prem,15.99,10/04/2023,08-11-2019,Spider-Man: No Way Home,Comedy,-50,3.099617946813977,Smart TV,9.0,¡Excelente película!,PayPal
U0194,germny,Premium,12.99,03/12/2023,08-06-2019,inception,Romance,421,,iOS,422.0,spam spam spam spam spam,Debit Card
U0195,Australia,Premium,12.99,"Apr 29, 2023","Nov 30, 2019",parasite,Comedy,6653,,Web,,,
U0196,United Stattes,P,15.99,"Sep 01, 2021","Dec 30, 2021",interstellar,"Action, Thriller",-50,1.9,Android,5.0,spam spam spam spam spam,Credit Card
U0197,Germany,P,12.99,09-04-2018,17/07/2019,dangal,"Action, Thriller",295,1.6,Web,737.0,¡Excelente película!,Credit Card
U0198,Canada,prem,12.99,"Oct 08, 2019","Jun 21, 2020",Spider-Man: No Way Home,Romance,408,,iOS,,Loved it! ❤️ Best movie ever!,card
